NameofProgram,WeeksDuration,Hours,FullTime,Part Time,Type,Tuition,Active,Category,Without Type,Append,URL,JSON,SMORG,
Pc Support Specialist Diploma,53,1164,Yes,Yes,Diploma,13604,Yes,IT,PC SUPPORT SPECIALIST,,pc_support_specialist,pc_support_specialist_programdata.json,pc_support_specialist.pdf,
Project Administration Diploma,46,1002,Yes,Yes,Diploma,14175,Yes,Business,PROJECT ADMINISTRATION,,project_administration,project_administration_programdata.json,project_administration.pdf,
Psa - Computerized Office Skills Certificate,11,232,Yes,Yes,Certificate,3471,No,Business,PSA - COMPUTERIZED OFFICE SKILLS,,psa_computerized_office_skills,psa_computerized_office_skills_programdata.json,psa_computerized_office_skills.pdf,
Sales Associate Certificate,18,404,Yes,Yes,Certificate,5651,Yes,Business,SALES ASSOCIATE,,sales_associate,sales_associate_programdata.json,sales_associate.pdf,
Sales Professional Diploma,38,844,Yes,Yes,Diploma,11787,Yes,Business,SALES PROFESSIONAL,,sales_professional,sales_professional_programdata.json,sales_professional.pdf,
Software And Web Developer Diploma,43,949,Yes,Yes,Diploma,17063,Yes,Graphic Design and Coding,SOFTWARE AND WEB DEVELOPER,,software_and_web_developer,software_and_web_developer_programdata.json,software_and_web_developer.pdf,
Web Designer Diploma,54,1183,Yes,Yes,Diploma,17114,Yes,Graphic Design and Coding,WEB DESIGNER,,web_designer,web_designer_programdata.json,web_designer.pdf,
Web Developer Diploma,27,591,Yes,Yes,Diploma,10774,Yes,Graphic Design and Coding,WEB DEVELOPER,,web_developer,web_developer_programdata.json,web_developer.pdf,
IT Tech Support Specialist,47,1034,Yes,Yes,Diploma,20000,No,IT,IT TECH SUPPORT SPECIALIST,,it_tech_support_specialist,it_tech_support_specialist_programdata.json,it_tech_support_specialist.pdf,
,,,,,,,,,,,,,,
